order_id,lens_type,current_stage,order_age_hours,sla_hours,inventory_available,qc_failures,store_location,rework_count,delay_reason,breached
ORD-2024-100000,Single Vision,Frame Fitting,26.2,30,1,0,Chennai,0,Logistics Delay,1
ORD-2024-100001,Progressive,Prescription Verified,2.1,72,1,0,Bangalore,0,None,0
ORD-2024-100002,Single Vision,Frame Fitting,14.2,24,1,0,Bangalore,0,None,0
ORD-2024-100003,Single Vision,Shipped,21.9,24,1,0,Bangalore,0,None,0
ORD-2024-100004,Progressive,Shipped,56.4,60,1,0,Hyderabad,0,None,0
ORD-2024-100005,Single Vision,Packing,53.1,24,1,3,Bangalore,2,None,1
ORD-2024-100006,Single Vision,Frame Fitting,20.7,24,1,0,Pune,0,None,0
ORD-2024-100007,Single Vision,Frame Fitting,15.0,24,1,0,Chennai,0,None,0
ORD-2024-100008,Progressive,Packing,89.6,72,1,0,Delhi,0,None,0
ORD-2024-100009,Progressive,Shipped,70.5,72,1,0,Pune,0,None,0
ORD-2024-100010,Single Vision,Lens Cutting,17.5,24,0,0,Bangalore,0,Inventory Shortage,0
ORD-2024-100011,Single Vision,Order Placed,0.5,24,1,0,Mumbai,0,None,0
ORD-2024-100012,Progressive,Packing,86.1,72,1,1,Hyderabad,0,QC Failure,1
ORD-2024-100013,Single Vision,Frame Fitting,12.5,24,1,0,Bangalore,0,None,0
ORD-2024-100014,Progressive,Prescription Verified,30.0,72,0,1,Mumbai,0,Inventory Shortage,0
ORD-2024-100015,Single Vision,Quality Check,18.1,18,1,0,Pune,0,Logistics Delay,0
ORD-2024-100016,Single Vision,Order Placed,6.2,18,1,0,Hyderabad,0,None,0
ORD-2024-100017,Bifocal,Quality Check,69.1,48,0,1,Mumbai,1,Inventory Shortage,1
ORD-2024-100018,Progressive,Quality Check,105.2,72,0,0,Pune,0,Supplier Delay,1
ORD-2024-100019,Bifocal,Shipped,96.6,48,0,0,Kolkata,0,Machine Breakdown,1
ORD-2024-100020,Single Vision,Lens Cutting,8.1,24,1,0,Pune,1,Inventory Shortage,1
ORD-2024-100021,Single Vision,Quality Check,23.4,24,1,0,Pune,0,None,0
ORD-2024-100022,Bifocal,Quality Check,68.2,48,0,1,Chennai,1,Supplier Delay,1
ORD-2024-100023,Single Vision,Frame Fitting,17.1,24,1,0,Mumbai,0,None,0
ORD-2024-100024,Bifocal,Frame Fitting,20.8,48,1,0,Bangalore,0,Logistics Delay,0
ORD-2024-100025,Single Vision,Shipped,30.5,24,0,0,Bangalore,0,None,0
ORD-2024-100026,Bifocal,Quality Check,40.6,48,1,0,Kolkata,0,None,0
ORD-2024-100027,Single Vision,Quality Check,17.7,24,1,0,Pune,0,None,0
ORD-2024-100028,Bifocal,Frame Fitting,38.6,48,1,1,Mumbai,1,None,0
ORD-2024-100029,Progressive,Quality Check,103.0,72,0,0,Delhi,1,Supplier Delay,1
ORD-2024-100030,Progressive,Lens Cutting,39.7,72,1,0,Pune,0,Logistics Delay,0
ORD-2024-100031,Bifocal,Coating,20.8,36,1,0,Kolkata,0,Logistics Delay,0
ORD-2024-100032,Single Vision,Packing,38.1,30,1,1,Delhi,0,None,0
ORD-2024-100033,Bifocal,Lens Cutting,23.9,48,0,0,Mumbai,0,Inventory Shortage,0
ORD-2024-100034,Single Vision,Prescription Verified,3.4,18,1,0,Mumbai,0,None,0
ORD-2024-100035,Bifocal,Shipped,53.3,48,1,0,Bangalore,0,Logistics Delay,0
ORD-2024-100036,Single Vision,Coating,17.7,30,1,0,Bangalore,0,None,0
ORD-2024-100037,Progressive,Packing,104.9,72,1,3,Mumbai,0,Logistics Delay,1
ORD-2024-100038,Progressive,Quality Check,161.5,72,0,1,Hyderabad,1,Machine Breakdown,1
ORD-2024-100039,Single Vision,Order Placed,10.8,24,0,2,Hyderabad,1,Inventory Shortage,0
ORD-2024-100040,Progressive,Quality Check,131.0,60,0,0,Kolkata,1,Machine Breakdown,1
ORD-2024-100041,Bifocal,Packing,63.1,48,0,0,Kolkata,0,None,0
ORD-2024-100042,Progressive,Prescription Verified,2.2,72,0,0,Delhi,0,Inventory Shortage,0
ORD-2024-100043,Bifocal,Packing,50.8,48,1,0,Delhi,0,None,0
ORD-2024-100044,Single Vision,Frame Fitting,20.4,24,1,0,Mumbai,0,None,0
ORD-2024-100045,Progressive,Shipped,110.2,96,0,0,Bangalore,0,Logistics Delay,1
ORD-2024-100046,Single Vision,Prescription Verified,4.3,24,1,0,Bangalore,0,None,0
ORD-2024-100047,Single Vision,Lens Cutting,6.4,24,1,0,Bangalore,0,None,0
ORD-2024-100048,Single Vision,Order Placed,5.7,24,0,1,Hyderabad,0,Supplier Delay,0
